;CENICAÑA;UAO;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA
CENICAÑA;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1
UAO;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0
UIS;1;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0
UCESAR;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0
ITM;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;1
UPB;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;1
UPAMPLONA;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1
ULIBRE;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0
UDEA;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0
SENA;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0
BIOPACIFICO;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0
CORPOICA-AGROSAVIA;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1
BIOTEC;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1
ALEXANDER VON HUMBOLT;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1
CORPOGEN;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1
CENIPALMA;1;1;0;0;0;1;1;1;0;1;0;1;1;0;0;1
