;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA
UNIVALLE;0.058504216214968;0.032445795381400196;0.045080426476535186;0.04100208260393721;0.0902050303412869;0.047152216656510246;0.05364360362368139;0.04245005869423653;0.03705944290074374;0.04855102627853826;0.06877290786335566;0.08784451085729765;0.027202546516073848;0.0653965701662496;0.04280183811795519;0.04912593904211032;0.03770137997261282;0.04832599881462842;0.07673440947787898
CIAT;0.058474815404029906;0.03242543093211246;0.04502225655930714;0.040913264557279845;0.0902037393184726;0.047214771420774806;0.05376080767176023;0.04255850069326004;0.03708360212540723;0.04865542428210061;0.06855740089692607;0.08804919025444113;0.02716646060526971;0.06542420139748303;0.04275127872132421;0.04917924329776681;0.037638714658532635;0.0483030445878376;0.07661785261591435
CENICAÑA;0.05859101206630606;0.032470518054445036;0.045164649087496594;0.041058457254216196;0.09018778366893733;0.04707969438155547;0.053567380868849865;0.042383606403177294;0.03701567957357773;0.04847175493414011;0.06886977796863117;0.08765720854649149;0.02723588919389254;0.06536279230915787;0.04288611444805073;0.04905233585008835;0.037748815319642616;0.048327295392428575;0.07686923467891506
UAO;0.05862880579869144;0.03247254552848992;0.04518723975047604;0.041045233999414316;0.09018649927957353;0.04707050230016816;0.05357322622393488;0.04238940354675268;0.03700277945669967;0.048470416153696794;0.06880628417422008;0.08767150376382868;0.027235119691608373;0.0653560715506773;0.0429109940313881;0.04904132662565341;0.03774073252743405;0.04832088817633237;0.07689042742096035
UNAL;0.058399540090725136;0.032396862505687636;0.04491323374427618;0.04078541520743263;0.09018834615857758;0.04731522671018807;0.053954594958797474;0.04273857543025771;0.037130145758812516;0.048824249390328846;0.06828849405387312;0.08832726753151057;0.027115554076129568;0.06546894485658693;0.04265236289562917;0.049260054849322193;0.03755255297410191;0.04826857880520491;0.0764200000025581
UIS;0.05823282002400291;0.032339117638801575;0.04472694512620125;0.04062015741076132;0.09021801787273845;0.04748460183024836;0.05416681969085977;0.0429297469644256;0.03722159586606153;0.049039144594708095;0.06795370903880311;0.08880997828876865;0.02703046127745699;0.06555112417492173;0.04247181119876121;0.049428848623727886;0.037423699660833816;0.04824757995306373;0.07610382076485411
UCESAR;0.058070299809145846;0.03228622378141217;0.044533412339133736;0.040438049553511844;0.09021805413827477;0.04765624314135603;0.0544353642430343;0.04317511773999981;0.037312345765831464;0.04929117733879824;0.06759244784891062;0.08926608970405932;0.02694663051285672;0.06563101039510622;0.04228929967688182;0.04958375028621736;0.0372930736140116;0.048208840109729686;0.07577257000172845
ITM;0.057976800276517755;0.032263359765589264;0.04448421182997096;0.04046296866673836;0.0902845756087716;0.04769425944855828;0.05435832674673039;0.04309483192132406;0.03735189498105657;0.0492535913872724;0.06768453149405107;0.08937208118839826;0.026931395671246132;0.06565230726743884;0.0422268692397543;0.04965466351308904;0.03728576388953603;0.0482498918166749;0.07571767528728195
UPB;0.05828727683849481;0.03234677081628099;0.044751220075756895;0.04059297673786246;0.09018727931746372;0.04746931606186907;0.05421477590278379;0.04298134179206838;0.037202029249512096;0.04906773737191857;0.06786474451958671;0.08879067234025931;0.027032129327932596;0.06554384354747433;0.04250523359991521;0.049400129775730245;0.03741637578600246;0.04822109857677004;0.07612504836231847
UPAMPLONA;0.05807264608407238;0.032294173295553195;0.04459591220383374;0.04056793865044389;0.09028308868260346;0.047595235581243116;0.05420240485682182;0.042953816864472125;0.037297193654922865;0.04911110709030691;0.06788834504611321;0.0891091338388007;0.026979570278724305;0.06560883784039162;0.04233317469884478;0.049564632274009084;0.037361898628816774;0.048271144058047055;0.07590974637197924
ULIBRE;0.058738111268036304;0.032499855638569435;0.04530318201959229;0.04113245182581329;0.09018796344546212;0.04697440624949782;0.053432846316704474;0.04226260209537255;0.03694801257047126;0.04833735323087358;0.06895526038605114;0.08744324694140915;0.027277196565684225;0.06531112594958087;0.04302388595953559;0.04895547584612093;0.03780311310315749;0.0483354763803356;0.07707843420773196
UDEA;0.05807221953503124;0.03228581538916855;0.04451159854105727;0.04038752767186666;0.09018438150134929;0.04768058478806066;0.054548101729879846;0.04327931659973297;0.037315761740160915;0.049359246481512395;0.0674788455231817;0.08930653224211788;0.026937256728442032;0.06562905706377058;0.042275031664095;0.04957617854647018;0.03726583077946099;0.04818678990295708;0.07571992357168485
SENA;0.058543832229925784;0.03244605850811924;0.045095515501757895;0.04097154400097358;0.09019618649103249;0.04715031396082319;0.053676178556967276;0.04248301270504827;0.03704758316668454;0.04857429131735631;0.06866653767456089;0.08788259492379273;0.027196523900596924;0.06539519953600961;0.042822661267663875;0.049118912390548886;0.037683935304448635;0.048309896880867315;0.0767392216828229
BIOPACIFICO;0.05817257146880502;0.032326199352405174;0.044689098515784814;0.04062432691205603;0.09024598937675646;0.04751544772340768;0.05415633529959526;0.04291319031767343;0.037247138440940186;0.04903613779790301;0.06798844019845227;0.08887313371343553;0.027020216972549718;0.0655614846933523;0.04242792168533555;0.04946637375140579;0.03741428916632687;0.048267377613181686;0.0760543270006334
CORPOICA-AGROSAVIA;0.0585599023485584;0.032465517181423674;0.045148401915289814;0.0410699451798287;0.0902028943345108;0.04708900210260401;0.05354428019842383;0.042360329688674134;0.037027520689122385;0.04846153139862073;0.06891451959251162;0.08767224101346249;0.027233660410426824;0.0653696342451189;0.04286589485242996;0.04907068178494084;0.037751521687555974;0.04833869959707972;0.07685382177941723
BIOTEC;0.05821821200255508;0.032332873905886225;0.04469853541549991;0.04058005530769994;0.09020486052461753;0.047512196067983056;0.05424005526189797;0.042998218917543685;0.037231812327968045;0.04909256112695594;0.06786690912886008;0.08887608142476014;0.0270174007940254;0.06555905770214326;0.04244825384069713;0.04944182756063962;0.03739810287637023;0.048234151889208474;0.07604883392468847
ALEXANDER VON HUMBOLT;0.0584341393040897;0.03241509384880887;0.04500219188012266;0.04092810867121316;0.0902370505432882;0.047229540400808435;0.05371330433033723;0.042511869539131955;0.03709967802219583;0.04863287230446273;0.0686047033525528;0.0880987150890697;0.027159927063217477;0.06543633544319938;0.04272473631495245;0.04921276128945338;0.03763738064318402;0.04832338816321365;0.07659820379669838
CORPOGEN;0.05849715602763019;0.03242611611388082;0.04500629151287627;0.04084539953195696;0.09016219619045622;0.047235294594505;0.05388505317090693;0.04267718819114756;0.03708135742217615;0.048743799769215175;0.06839070428282798;0.08810868396585486;0.02715370554708288;0.06542828308215642;0.04274618407587339;0.04917306954328542;0.03760543833906354;0.04826702540398912;0.07656705323511541
CENIPALMA;0.058530403388733235;0.03246503168115621;0.04514848009843647;0.04111472268329565;0.09022654597773463;0.04708245106482199;0.053477232360679056;0.04229363573538643;0.03703432556959463;0.04840897271402542;0.06903721820221842;0.0876293694872293;0.027242328251889245;0.06536575037307607;0.04285778728647581;0.0490750267293891;0.037773131352750955;0.04836488321046232;0.0768727038326451
